Elapsed time = 0.160811 for 32 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.006494 for 32 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.031386 for 32 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.014993 for 32 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.007721 for 1 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.014134 for 1 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.012156 for 1 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.014090 for 1 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.016045 for 1 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.019251 for 1 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.004060 for 2 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007193 for 2 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.006588 for 2 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007629 for 2 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007900 for 2 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.030723 for 2 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.002053 for 4 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.003539 for 4 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.003447 for 4 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.003717 for 4 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.004257 for 4 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.563648 for 4 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.001447 for 8 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.001344 for 8 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.001461 for 8 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.001329 for 8 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.106555 for 8 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.027962 for 8 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.000786 for 16 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.000897 for 16 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.000787 for 16 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.069629 for 16 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.015132 for 16 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.030674 for 16 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.000474 for 32 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.000544 for 32 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.002500 for 32 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.008435 for 32 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.015225 for 32 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.030298 for 32 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.038830 for 1 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.073173 for 1 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.058038 for 1 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.068558 for 1 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.075137 for 1 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.091291 for 1 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.019658 for 2 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.035974 for 2 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.033625 for 2 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.034565 for 2 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.040216 for 2 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.086925 for 2 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.009704 for 4 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.013509 for 4 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.018930 for 4 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.017770 for 4 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
