0.012006, 1, 1, 30, 30 
0.011809, 1, 2, 30, 30 
0.009512, 1, 4, 30, 30 
0.008536, 1, 8, 30, 30 
0.008417, 1, 16, 30, 30 
0.011067, 1, 32, 30, 30 
0.005992, 2, 1, 30, 30 
0.005757, 2, 2, 30, 30 
0.004663, 2, 4, 30, 30 
0.004499, 2, 8, 30, 30 
0.004114, 2, 16, 30, 30 
0.037250, 2, 32, 30, 30 
0.003246, 4, 1, 30, 30 
0.003102, 4, 2, 30, 30 
0.002711, 4, 4, 30, 30 
0.002385, 4, 8, 30, 30 
0.033804, 4, 16, 30, 30 
0.567336, 4, 32, 30, 30 
0.001641, 8, 1, 30, 30 
0.001333, 8, 2, 30, 30 
0.001209, 8, 4, 30, 30 
0.005552, 8, 8, 30, 30 
0.033700, 8, 16, 30, 30 
0.009091, 8, 32, 30, 30 
0.001262, 16, 1, 30, 30 
0.001156, 16, 2, 30, 30 
0.000926, 16, 4, 30, 30 
0.161915, 16, 8, 30, 30 
0.005529, 16, 16, 30, 30 
0.010306, 16, 32, 30, 30 
0.000492, 32, 1, 30, 30 
0.000462, 32, 2, 30, 30 
0.004571, 32, 4, 30, 30 
0.004509, 32, 8, 30, 30 
0.005524, 32, 16, 30, 30 
0.009663, 32, 32, 30, 30 
0.023205, 1, 1, 60, 30 
0.023923, 1, 2, 60, 30 
0.018590, 1, 4, 60, 30 
0.016673, 1, 8, 60, 30 
0.015935, 1, 16, 60, 30 
0.020458, 1, 32, 60, 30 
0.011911, 2, 1, 60, 30 
0.011434, 2, 2, 60, 30 
0.009449, 2, 4, 60, 30 
0.008356, 2, 8, 60, 30 
0.007887, 2, 16, 60, 30 
0.028258, 2, 32, 60, 30 
0.006107, 4, 1, 60, 30 
0.005745, 4, 2, 60, 30 
0.004573, 4, 4, 60, 30 
0.004277, 4, 8, 60, 30 
0.003894, 4, 16, 60, 30 
1.209567, 4, 32, 60, 30 
0.003461, 8, 1, 60, 30 
0.002470, 8, 2, 60, 30 
0.002099, 8, 4, 60, 30 
0.001997, 8, 8, 60, 30 
0.100004, 8, 16, 60, 30 
0.016017, 8, 32, 60, 30 
0.001702, 16, 1, 60, 30 
0.001483, 16, 2, 60, 30 
0.001369, 16, 4, 60, 30 
0.321414, 16, 8, 60, 30 
0.009296, 16, 16, 60, 30 
